# Rime user dictionary
#@/db_name	sadfesKzaVassuk.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	514
#@/user_id	56730ff0-27cf-4b75-93af-e031cab1c7c4
pmam; xjzg; 	不去	c=1 d=1 t=514
pmam; ymnxb 	不謂	c=1 d=1 t=503
pmam; yvzbf 	不爲	c=1 d=1 t=492
pmam; zlykg 	不在	c=1 d=1 t=426
pmfch ayscg 	分鐘	c=1 d=1 t=157
pmfch boqyl 	分部	c=1 d=1 t=223
pmkle atbhv 	複製	c=2 d=1.99005 t=73
pord; ding; 	本地	c=2 d=1.29671 t=333
qaaNr 	阿	c=2 d=1.43387 t=364
qaaNr dlkhi 	阿特	c=1 d=1 t=424
qavqv nmqc; 	按鈕	c=2 d=1.72979 t=110
qbrvu kdqnq 	婉解	c=1 d=1 t=502
qitm; boqyl bmvch 	一部分	c=2 d=1.99005 t=409
qitm; dkkjm 	一直	c=6 d=4.83158 t=283
qitm; gzzm; 	一下	c=1 d=1 t=429
qitm; psvf; 	一半	c=2 d=1.53794 t=219
qitm; refm; 	一天	c=2 d=1.27665 t=398
qitm; teewr 	一點	c=7 d=4.4626 t=484
qitm; yqxde 	一樣	c=2 d=1.36422 t=300
qtmmv gmaie 	要求	c=3 d=1.39679 t=389
qtmmv pmam; ntfbf 	要不然	c=1 d=1 t=370
qwkri 	喲	c=2 d=1.99501 t=211
raaj; 	它	c=8 d=5.58694 t=457
raao; piyp; 	他比	c=1 d=1 t=204
raav; 	她	c=1 d=1 t=368
refm; refm; 	天天	c=1 d=1 t=94
refm; sgshm 	天生	c=3 d=2.06228 t=460
rejqo 	挑	c=1 d=1 t=477
reqbt kgedo 	體檢	c=1 d=1 t=129
resip 	廳	c=2 d=1.99005 t=511
rexsp pmam; tuwpg 	聽不懂	c=1 d=1 t=397
rgjGr waqhi 	超我	c=1 d=1 t=34
rohqg damzi 	推導	c=1 d=1 t=24
rohqg liqMg 	推理	c=0 d=0.197045 t=10
siaw; sqwdp 	思想	c=3 d=1.64101 t=465
sidp; tmsl; 	心中	c=1 d=1 t=80
sjqhl ymqk; 	所有	c=6 d=5.00882 t=318
slzlk kjzqo 	數據	c=2 d=1.67368 t=167
slzlk kjzqo xozij 	數據庫	c=1 d=1 t=87
ssvht pbpei 	算法	c=1 d=1 t=165
stun; resip 	小廳	c=1 d=1 t=510
stv>e gzzm; 	線下	c=1 d=1 t=462
tafrj dukKi 	單獨	c=1 d=1 t=111
tafrj jiaxr 	單詞	c=2 d=1.59156 t=163
tafrj kjxdc 	單槓	c=2 d=1.94176 t=183
tammn datnl 	到達	c=1 d=1 t=37
tefuc 	巔	c=1 d=1 t=400
tgrsv uinmf 	展示	c=1 d=1 t=161
tgtqr dajei 	哲濤	c=3 d=2.98506 t=469
tlk<i leun; 	得了	c=1 d=1 t=56
tlk<i pmam; tammn 	得不到	c=1 d=1 t=196
toajl ymqk; 	都有	c=1 d=1 t=70
tonli jqwno 	對象	c=2 d=1.98511 t=117
tonli pmam; tonli 	對不對	c=1 d=1 t=199
tsfyb xuqr; 	端口	c=2 d=1.54607 t=212
tvrJi wgzti 	轉義	c=1 d=1 t=122
twxLo gamrn 	帳號	c=1 d=1 t=107
uitjc gevMu 	實現	c=6 d=4.55268 t=280
uixhn gzzm; 	剩下	c=2 d=1.48919 t=357
vdatm pmam; taani 	差不多	c=1 d=1 t=140
vtwxb gmaie 	請求	c=2 d=1.72979 t=93
vwxon kwvnq 	創建	c=1 d=1 t=116
waqhi pmam; qtmmv 	我不要	c=1 d=1 t=220
waqhi ymzn; 	我又	c=1 d=1 t=142
waqhi zlhd; 	我才	c=1 d=1 t=81
wbfmf qifw; 	原因	c=1 d=1 t=133
wbfmf yqxde 	原樣	c=1 d=1 t=123
wjqxr pbpei 	語法	c=2 d=1.14156 t=427
woamr 	吾	c=-1 d=1 t=500
woqmm lnky; 	五六	c=1 d=1 t=28
woqo; kzmhu 	午覺	c=1 d=1 t=423
wwfyr 	言	c=1 d=1.19508 t=12
wwfyr rohqg liqMg 	言推理	c=1 d=1 t=11
wzfxb skknu 	顏色	c=2 d=1.99501 t=68
xjzg; nefo; 	去年	c=1 d=1 t=126
xkqGu bozxh 	起步	c=1 d=1 t=159
xusjm kakdr 	空格	c=1 d=1 t=26
xxbpk deqnl 	快遞	c=1 d=1 t=175
ybfbe 	爰	c=4 d=3.84578 t=295
yiquo gzzm; 	以下	c=8 d=5.07196 t=416
ymhdq 	韋	c=0 d=0.1 t=328
ymhdq laker xlkju 	韋洛克	c=1 d=1 t=329
ymnxb 	謂	c=1 d=1 t=307
ymqk; teewr 	有點	c=2 d=1.23575 t=390
ymvnl duwhs 	運動	c=1 d=1 t=153
ynaop 	悠	c=1 d=1 t=350
yqq<; itqao 	也是	c=1 d=1 t=130
yqxde oikim 	樣式	c=1 d=1 t=113
yyhzc 	遺	c=1 d=1 t=328
yyxb; pmam; dwktu 	用不着	c=1 d=1 t=323
zcfhe 	泉	c=1 d=1 t=399
zcfog boqyl 	全部	c=1 d=1 t=463
zcfog naupw 	全惱	c=2 d=1.37531 t=200
zeftn tsfyb 	前端	c=2 d=1.83527 t=125
zinhu kkqs; 	自己	c=1 d=1 t=176
zinhu tabkb 	自帶	c=1 d=1 t=82
zlh>i kxnpg 	纔怪	c=1 d=1 t=57
znzyu 	就	c=0 d=0.1 t=302
